rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.32,0.21,95.55
2,2,Bayern Munich,German Bundesliga,3.21,0.39,92.9
3,3,Liverpool,Barclays Premier League,2.89,0.26,92.88
4,4,Paris Saint-Germain,French Ligue 1,2.78,0.41,89.8
5,5,Barcelona,Spanish Primera Division,2.82,0.44,89.53
6,6,Juventus,Italy Serie A,2.58,0.46,87.07
7,7,Chelsea,Barclays Premier League,2.5,0.49,85.86
8,8,Real Madrid,Spanish Primera Division,2.54,0.54,85.22
9,9,Atletico Madrid,Spanish Primera Division,2.17,0.36,84.71
10,10,Borussia Dortmund,German Bundesliga,2.5,0.61,83.57
11,11,Ajax,Dutch Eredivisie,2.93,0.87,83.49
12,12,FC Salzburg,Austrian T-Mobile Bundesliga,3.09,0.96,83.45
13,13,Napoli,Italy Serie A,2.37,0.64,81.31
14,15,Manchester United,Barclays Premier League,2.06,0.47,81.05
15,14,RB Leipzig,German Bundesliga,2.29,0.62,80.78
16,17,Arsenal,Barclays Premier League,2.43,0.73,80.25
17,19,Internazionale,Italy Serie A,2.29,0.65,80.15
18,18,Tottenham Hotspur,Barclays Premier League,2.29,0.66,79.87
19,16,Bayer Leverkusen,German Bundesliga,2.27,0.67,79.46
20,20,Sevilla FC,Spanish Primera Division,2.14,0.62,78.74
21,21,FC Porto,Portuguese Liga,2.18,0.66,78.36
22,25,Zenit St Petersburg,Russian Premier Liga,2.2,0.69,77.99
23,23,Everton,Barclays Premier League,2.0,0.57,77.8
24,22,Leicester City,Barclays Premier League,2.01,0.58,77.71
25,24,Benfica,Portuguese Liga,2.23,0.8,76.01
26,27,Real Sociedad,Spanish Primera Division,2.05,0.69,75.78
27,26,Getafe,Spanish Primera Division,1.88,0.57,75.76
28,32,Flamengo,Brasileiro Série A,1.98,0.69,74.69
29,31,Villarreal,Spanish Primera Division,2.12,0.81,74.2
30,37,Eintracht Frankfurt,German Bundesliga,2.09,0.8,73.87
31,30,Athletic Bilbao,Spanish Primera Division,1.76,0.57,73.82
32,35,Valencia,Spanish Primera Division,2.13,0.83,73.78
33,29,Olympiacos,Greek Super League,2.15,0.86,73.53
34,41,Borussia Monchengladbach,German Bundesliga,2.13,0.85,73.26
35,36,AS Roma,Italy Serie A,2.04,0.8,73.01
36,39,Schalke 04,German Bundesliga,1.99,0.76,72.98
37,43,VfL Wolfsburg,German Bundesliga,1.91,0.71,72.93
38,40,Club Brugge,Belgian Jupiler League,2.12,0.86,72.87
39,34,Wolverhampton,Barclays Premier League,1.83,0.67,72.57
40,38,TSG Hoffenheim,German Bundesliga,2.17,0.92,72.38
41,42,AC Milan,Italy Serie A,1.95,0.76,72.29
42,33,Eibar,Spanish Primera Division,1.83,0.68,72.25
43,28,PSV,Dutch Eredivisie,2.31,1.03,72.17
44,44,Lyon,French Ligue 1,1.91,0.75,71.88
45,45,Young Boys,Swiss Raiffeisen Super League,2.36,1.09,71.78
46,51,Southampton,Barclays Premier League,1.91,0.79,71.1
47,48,Atalanta,Italy Serie A,2.14,0.96,70.96
48,47,Lazio,Italy Serie A,2.03,0.89,70.79
49,50,Burnley,Barclays Premier League,1.87,0.78,70.57
50,46,Crystal Palace,Barclays Premier League,1.88,0.79,70.49
51,52,Fiorentina,Italy Serie A,1.96,0.87,70.02
52,49,Basel,Swiss Raiffeisen Super League,2.18,1.04,69.96
53,53,Shakhtar Donetsk,UEFA Champions League,2.1,0.98,69.9
54,54,Granada,Spanish Primera Division,1.77,0.75,69.62
55,58,Osasuna,Spanish Primera Division,1.7,0.7,69.31
56,55,FC Krasnodar,Russian Premier Liga,1.94,0.9,69.01
57,56,AFC Bournemouth,Barclays Premier League,2.0,0.95,68.89
58,60,Werder Bremen,German Bundesliga,2.01,0.96,68.68
59,64,Leganes,Spanish Primera Division,1.63,0.68,68.43
60,66,Hertha Berlin,German Bundesliga,1.94,0.93,68.28
61,61,Real Betis,Spanish Primera Division,1.94,0.93,68.24
62,57,Lille,French Ligue 1,1.79,0.83,67.88
63,59,West Ham United,Barclays Premier League,1.91,0.92,67.87
64,67,PAOK Salonika,Greek Super League,2.06,1.04,67.85
65,62,Brighton and Hove Albion,Barclays Premier League,1.77,0.82,67.57
66,63,Celta Vigo,Spanish Primera Division,1.83,0.88,67.4
67,68,Palmeiras,Brasileiro Série A,1.63,0.72,67.4
68,65,River Plate,Argentina Primera Division,1.86,0.9,67.37
69,74,Watford,Barclays Premier League,1.9,0.96,66.88
70,69,Dinamo Zagreb,UEFA Champions League,2.06,1.08,66.87
71,76,Alavés,Spanish Primera Division,1.65,0.76,66.68
72,83,Lokomotiv Moscow,Russian Premier Liga,1.76,0.86,66.57
73,70,CSKA Moscow,Russian Premier Liga,1.79,0.88,66.49
74,71,Newcastle,Barclays Premier League,1.66,0.79,66.29
75,80,Aston Villa,Barclays Premier League,1.87,0.96,66.15
76,72,Espanyol,Spanish Primera Division,1.71,0.84,66.14
77,75,Ludogorets,UEFA Europa League,1.82,0.92,66.11
78,73,Leeds United,English League Championship,1.74,0.86,66.1
79,77,Sheffield United,Barclays Premier League,1.65,0.79,65.95
80,95,Celtic,Scottish Premiership,1.88,0.98,65.85
81,81,Dynamo Kiev,UEFA Europa League,1.86,0.98,65.46
82,94,LASK Linz,Austrian T-Mobile Bundesliga,1.91,1.03,65.35
83,84,Montpellier,French Ligue 1,1.57,0.75,65.3
84,78,Fulham,English League Championship,1.8,0.96,65.02
85,87,Bologna,Italy Serie A,1.76,0.92,65.0
86,79,Rangers,Scottish Premiership,1.98,1.11,64.8
87,86,Real Valladolid,Spanish Primera Division,1.63,0.83,64.74
88,82,Mainz,German Bundesliga,1.9,1.05,64.56
89,93,AS Monaco,French Ligue 1,1.89,1.05,64.46
90,90,Sporting CP,Portuguese Liga,1.78,0.96,64.34
